other_number,v1,v2,v3
92,Social and Personal Activity,Recreation and Relaxation,Recreation
921,Social and Personal Activity,Recreation and Relaxation,"Relaxation, Loafing"
9276,Social and Personal Activity,Recreation and Relaxation,Shooting of Firearms
9267,Social and Personal Activity,Recreation and Relaxation,Skating
93,Social and Personal Activity,Recreation and Relaxation,"Sports, Gymnastics"
9256,Social and Personal Activity,Recreation and Relaxation,Swimming
926,Social and Personal Activity,Recreation and Relaxation,Winter Sports
1675,The Land,"Farms, Lands, Conditions",Abandoned Farms
157,The Land,"Farms, Lands, Conditions",Barns
15715,The Land,"Farms, Lands, Conditions",Barns in Disrepair
155,The Land,"Farms, Lands, Conditions",Commercialized Farms
166,The Land,"Farms, Lands, Conditions",Drought Conditions
167,The Land,"Farms, Lands, Conditions",DustStorms
165,The Land,"Farms, Lands, Conditions",Erosion
1589,The Land,"Farms, Lands, Conditions",Farms for Sale
154,The Land,"Farms, Lands, Conditions","Farms, Ranches, Plantations"
156,The Land,"Farms, Lands, Conditions",Farmyards and Buildings
1587,The Land,"Farms, Lands, Conditions",Fences
16,The Land,"Farms, Lands, Conditions",Fields and Farmlands
162,The Land,"Farms, Lands, Conditions",Land Treatment
1545,The Land,"Farms, Lands, Conditions",Mountain Farms
163,The Land,"Farms, Lands, Conditions",Poor or Submarginal Land
1672,The Land,"Farms, Lands, Conditions",Soil Drifts
1635,The Land,"Farms, Lands, Conditions",Stump Land
1685,The Land,"Forests, Plants, Parks, Wildlife",Brush and Grass Fires
1738,The Land,"Forests, Plants, Parks, Wildlife",Conservation
173,The Land,"Forests, Plants, Parks, Wildlife",Deforestation
1737,The Land,"Forests, Plants, Parks, Wildlife",Fire Prevention
1736,The Land,"Forests, Plants, Parks, Wildlife",Forest Fires and Prevention
17,The Land,"Forests, Plants, Parks, Wildlife",Forests
174,The Land,"Forests, Plants, Parks, Wildlife",Parks
175,The Land,"Forests, Plants, Parks, Wildlife",Plants
1723,The Land,"Forests, Plants, Parks, Wildlife",Trees
17556,The Land,"Forests, Plants, Parks, Wildlife",Wildlife Conservation
14,The Land,General,Land
1428,The Land,General,Miscellaneous Landscapes
142,The Land,General,Panoramas
184,The Land,"Highways, Railroads, Industrial Areas",Highways
4166,The Land,"Highways, Railroads, Industrial Areas",Highways
187,The Land,"Highways, Railroads, Industrial Areas",Industrial Plant in the Country
186,The Land,"Highways, Railroads, Industrial Areas",Railroads
185,The Land,"Highways, Railroads, Industrial Areas",Roads
1846,The Land,"Highways, Railroads, Industrial Areas",Tunnels
1444,The Land,"Mountains, Deserts, Foothills, Plains",Abandoned Mines
149,The Land,"Mountains, Deserts, Foothills, Plains",Bad Lands
146,The Land,"Mountains, Deserts, Foothills, Plains","Canyons, Caves"
15,The Land,"Mountains, Deserts, Foothills, Plains",Desert
152,The Land,"Mountains, Deserts, Foothills, Plains","Foothills, Rolling Country"
145,The Land,"Mountains, Deserts, Foothills, Plains",Geological Features
153,The Land,"Mountains, Deserts, Foothills, Plains",Grazing Land
1488,The Land,"Mountains, Deserts, Foothills, Plains",Historic Landmarks
144,The Land,"Mountains, Deserts, Foothills, Plains",Mines
143,The Land,"Mountains, Deserts, Foothills, Plains",Mountains
1518,The Land,"Mountains, Deserts, Foothills, Plains",Oil and Gas Fields
148,The Land,"Mountains, Deserts, Foothills, Plains",Rock Formations
1486,The Land,"Mountains, Deserts, Foothills, Plains","Ruins, Caves, Archeology"
1514,The Land,"Mountains, Deserts, Foothills, Plains",Sand Dunes
19,The Land,"Seashore, Islands, Open Sea",Seashore and Lakeshore
182,The Land,"Weather, Floods, Waterways",Bridges
183,The Land,"Weather, Floods, Waterways","Canals, Locks"
1771,The Land,"Weather, Floods, Waterways",Clouds
181,The Land,"Weather, Floods, Waterways",Dams
1777,The Land,"Weather, Floods, Waterways",Floods
1775,The Land,"Weather, Floods, Waterways",Hurricanes
1835,The Land,"Weather, Floods, Waterways","Lakes, Ponds"
18,The Land,"Weather, Floods, Waterways","Rivers, Streams, Springs"
1773,The Land,"Weather, Floods, Waterways",Snow
1776,The Land,"Weather, Floods, Waterways",Spring Thaw
1804,The Land,"Weather, Floods, Waterways",Waterfalls
177,The Land,"Weather, Floods, Waterways",Weather
526,Transportation,Air Transport,Airports
524,Transportation,Air Transport,Air Transportation
5261,Transportation,Air Transport,Buildings
5262,Transportation,Air Transport,"Control, Communicating"
5263,Transportation,Air Transport,Ground Crews
52453,Transportation,Air Transport,Parachutes
5242,Transportation,Air Transport,Passengers
52615,Transportation,Air Transport,"Tickets, Baggage"
505,Transportation,Non-Mechanized,Animal Drawn Vehicles
503,Transportation,Non-Mechanized,Hitchhiking
5056,Transportation,Non-Mechanized,"Horses, Donkeys"
5063,Transportation,Non-Mechanized,Oxen
5054,Transportation,Non-Mechanized,Pack Horses
5052,Transportation,Non-Mechanized,Riding Horses
5058,Transportation,Non-Mechanized,"Sleighs, Sledges, Sleds"
5,Transportation,Non-Mechanized,Transportation
502,Transportation,Non-Mechanized,Walking
52045,Transportation,Railroads,Baggage Service
52188,Transportation,Railroads,Catching a Ride
520322,Transportation,Railroads,Chicago Union Station
521,Transportation,Railroads,Express and Freight Handling
5209,Transportation,Railroads,Express Handling
5213,Transportation,Railroads,Freight Trains and Cars
5214,Transportation,Railroads,Locomotives
52189,Transportation,Railroads,Miscellaneous
5218,Transportation,Railroads,Miscellaneous
52138,Transportation,Railroads,OreCars
5205,Transportation,Railroads,Passengers
52035,Transportation,Railroads,People in Large Stations
5207,Transportation,Railroads,People in Large Stations
52037,Transportation,Railroads,People on Platforms
5217,Transportation,Railroads,Railroad Maintenance
5203,Transportation,Railroads,Railroad Stations
52186,Transportation,Railroads,Railroad Workers
5215,Transportation,Railroads,Railroad Yards
52155,Transportation,Railroads,Railroad Yards
52187,Transportation,Railroads,"Railroad YMCA, Accommodations"
52,Transportation,Railroads,Railroads
52134,Transportation,Railroads,"Refrigerator Cars, Icing"
52155,Transportation,Railroads,Repair Shops
52152,Transportation,Railroads,Repairs at the Riptrack
52153,Transportation,Railroads,Roundhouses
5216,Transportation,Railroads,Signal Systems
5204,Transportation,Railroads,Station Personnel
52137,Transportation,Railroads,TankCars
52158,Transportation,Railroads,"Tracks, Bridges, Tunnels"
5207,Transportation,Railroads,Train Crews
52131,Transportation,Railroads,"Train Crews, Operations"
52157,Transportation,Railroads,Yard Offices
52151,Transportation,Railroads,Yard Operations
5117,Transportation,Road Transport,"Accidents, Wrecks"
51476,Transportation,Road Transport,At Service Stations
51,Transportation,Road Transport,Automobiles
51537,Transportation,Road Transport,"Bus Garages, Repairs"
5153,Transportation,Road Transport,Bus Terminals
515,Transportation,Road Transport,Busses
5167,Transportation,Road Transport,"Carbarns, Terminals"
5106,Transportation,Road Transport,CarPooling
518,Transportation,Road Transport,Commuters
5165,Transportation,Road Transport,"Conductors, Motormen"
5104,Transportation,Road Transport,"Details, Licences, Decorations"
51536,Transportation,Road Transport,"Drivers, Dispatchers"
51576,Transportation,Road Transport,Ferries
511,Transportation,Road Transport,Garages
5112,Transportation,Road Transport,"Garages, Storage and Repair"
5114,Transportation,Road Transport,Gas and Service Stations
5155,Transportation,Road Transport,"Highway Markers, Signposts, Tollgates"
5145,Transportation,Road Transport,Loading and Unloading
5133,Transportation,Road Transport,Migrants' Cars
5138,Transportation,Road Transport,Moving Household Goods
5147,Transportation,Road Transport,On the Road
5107,Transportation,Road Transport,"Park.ing, Parking Lots"
5164,Transportation,Road Transport,Passengers
51525,Transportation,Road Transport,Passengers in Busses
51534,Transportation,Road Transport,People at Terminals
5177,Transportation,Road Transport,People Going To and From Work
5116,Transportation,Road Transport,Repairs on the Road
5157,Transportation,Road Transport,"Road Conditions, Ferries"
516,Transportation,Road Transport,Street Cars
517,Transportation,Road Transport,Subways and Elevated Trains
512,Transportation,Road Transport,Taxicabs
51555,Transportation,Road Transport,Tollgates
51485,Transportation,Road Transport,Truck Drivers
5148,Transportation,Road Transport,Truck Repairs at Garages
5144,Transportation,Road Transport,Truck Terminals
514,Transportation,Road Transport,Trucks
51435,Transportation,Road Transport,Trucks Transporting People
51528,Transportation,Road Transport,"Waiting for Busses, Board.ing"
527,Transportation,Tourists,"Travelers' Accommodations, Hotels"
5233,Transportation,Water Transport,Barges
52342,Transportation,Water Transport,"Coal Barges, Loading Operations"
5237,Transportation,Water Transport,Ferry Boats
52346,Transportation,Water Transport,"Grain Boats, Loading Operations"
523,Transportation,Water Transport,Inland Shipping
5234,Transportation,Water Transport,Loading and Unloading
5231,Transportation,Water Transport,Locks
52266,Transportation,Water Transport,Merchant Marine Training
5225,Transportation,Water Transport,Merchant Seamen
52344,Transportation,Water Transport,"Ore Barges, Loading Operations"
5232,Transportation,Water Transport,Towboats
522,Transportation,Water Transport,Water Transportation
7628,War,Civilian Defence and Other Activites,'Food for Victory' Campaign
7604,War,Civilian Defence and Other Activites,Air Plane Spotting
761,War,Civilian Defence and Other Activites,Air Raid Drill
7611,War,Civilian Defence and Other Activites,Air Raid Wardens
76032,War,Civilian Defence and Other Activites,Airfield Activities
76038,War,Civilian Defence and Other Activites,Base Canteen
7636,War,Civilian Defence and Other Activites,Blood Donors
76263,War,Civilian Defence and Other Activites,Boy Scouts
7598,War,Civilian Defence and Other Activites,Civilian Activities
7603,War,Civilian Defence and Other Activites,Civilian Air Patrol
76,War,Civilian Defence and Other Activites,Civilian Defense
7633,War,Civilian Defence and Other Activites,Fats and Grease
76035,War,Civilian Defence and Other Activites,Inspection
7631,War,Civilian Defence and Other Activites,Metal
7635,War,Civilian Defence and Other Activites,Paper
76031,War,Civilian Defence and Other Activites,Patrol Planes
76039,War,Civilian Defence and Other Activites,Personnel
7637,War,Civilian Defence and Other Activites,Rationing
76262,War,Civilian Defence and Other Activites,Red Cross
7632,War,Civilian Defence and Other Activites,Rubber
763,War,Civilian Defence and Other Activites,Scrap Salvage
759,War,Civilian Defence and Other Activites,Servicemen's Families
76033,War,Civilian Defence and Other Activites,Servicing Patrol Planes
7624,War,Civilian Defence and Other Activites,"War Bonds, Stamps"
7623,War,Civilian Defence and Other Activites,War Production Stimuli
76607,War,Evacuation and Refugues,"American-Soviet War Exhibit, June 1943"
76474,War,Evacuation and Refugues,"Camps, Arrival"
7647,War,Evacuation and Refugues,Evacuation Camps for American Japanese
766068,War,Evacuation and Refugues,"Nature of the Enemy Exhibit, May 1943"
76604,War,Evacuation and Refugues,Office of War Information
7662,War,Evacuation and Refugues,Posters
766,War,Evacuation and Refugues,Propaganda
76472,War,Evacuation and Refugues,"Sellng Possessions, Stores"
76473,War,Evacuation and Refugues,Transportation to Centers
766065,War,Evacuation and Refugues,"United Nations Exhibit, 1943"
7661,War,Evacuation and Refugues,"War in Advertising, Comics, etc."
72,War,"Fortifications, Armed Services, Recruiting",Armed Forces
72314,War,"Fortifications, Armed Services, Recruiting",Fighting French
7231,War,"Fortifications, Armed Services, Recruiting",Fo reign Groups and Soldiers of Foreign Extraction
7203,War,"Fortifications, Armed Services, Recruiting",Individuals
721,War,"Fortifications, Armed Services, Recruiting",Individuals by Name
72311,War,"Fortifications, Armed Services, Recruiting",Latin Americans
7215,War,"Fortifications, Armed Services, Recruiting",Officers by Name
729,War,"Fortifications, Armed Services, Recruiting","Recruiting, Draft Boards"
7234,War,"Fortifications, Armed Services, Recruiting",State Militia
726,War,"Fortifications, Armed Services, Recruiting","W.A.C.S., W.A .V.E.S."
7,War,"Fortifications, Armed Services, Recruiting",War
75852,War,"Heroes, Awards",Honor Rolls
7304,War,"Induction, General Training",Drill
7303,War,"Induction, General Training",Headquarters
73,War,"Induction, General Training","Induction Camps, Basic Training"
732,War,"Induction, General Training",Maneuvres
73126,War,"Induction, General Training",Mascots
7308,War,"Induction, General Training",Mess Halls
7317,War,"Induction, General Training",Miscellaneous
73133,War,"Induction, General Training",Musicians
73012,War,"Induction, General Training",Outfitting
7301,War,"Induction, General Training",Physical Examination
73046,War,"Induction, General Training",Physical Training
7306,War,"Induction, General Training",Physical Training
7312,War,"Induction, General Training",Recreation
73226,War,"Induction, General Training",Supplies
73013,War,"Induction, General Training","Uniforms, Insignias, Kits, Packs"
7302,War,"Induction, General Training",View of Camps
7417,War,Servicemen on Leave,Around Town
7413,War,Servicemen on Leave,At Home
7418,War,Servicemen on Leave,"Entertainment , U.S .O."
7411,War,Servicemen on Leave,In Stations
741,War,Servicemen on Leave,Servicemen on Leave
737,War,Special Training Functions,"Air Force, Aircraft Training"
7375,War,Special Training Functions,Airfields
7352,War,Special Training Functions,"Armored Forces, Tanks"
734,War,Special Training Functions,Artillery
73717,War,Special Training Functions,Attack Scout Dive Bombers
7371647,War,Special Training Functions,B-17 Flying Fortress
7347,War,Special Training Functions,Barrage Balloons
7335,War,Special Training Functions,Bayonet Drill
73716,War,Special Training Functions,Bombers
73823,War,Special Training Functions,Camouflage
735,War,Special Training Functions,"Cavalry, Motorized Troops, Tanks"
7356,War,Special Training Functions,Chemical Warfare
7377,War,Special Training Functions,"Communications, Signal Corps"
738,War,Special Training Functions,Engineers
733,War,Special Training Functions,Engineers
7373,War,Special Training Functions,General Flight Training Classes
73712,War,Special Training Functions,Gliders
73753,War,Special Training Functions,Ground Crews
733,War,Special Training Functions,Infantry
7335,War,Special Training Functions,Infantry
73515,War,Special Training Functions,"Mechanized Cavalry, Scout Cars"
7393,War,Special Training Functions,Military Government
7358,War,Special Training Functions,"Military Police, Shore Patrol"
7351,War,Special Training Functions,Motorcycle Troops
7328,War,Special Training Functions,Naval Academy
736,War,Special Training Functions,Navy
739,War,Special Training Functions,Photographs
73713,War,Special Training Functions,Planes
73716,War,Special Training Functions,Planes
73754,War,Special Training Functions,Repairs and Maintenance
7333,War,Special Training Functions,Rifle Shooting
736344,War,Special Training Functions,Studying Ship Engines
73714,War,Special Training Functions,Trainers
7372,War,Special Training Functions,Transport Utility Planes
7581,War,Transportation and Medical Services,Medical Services
53718,Work,"Agriculture: Crops, Livestock, Ranches","Kaffir Corn, Sudan Grass"
5484,Work,"Agriculture: Crops, Livestock, Ranches",Agricultural Machinery
5487,Work,"Agriculture: Crops, Livestock, Ranches",Agricultural Training
53,Work,"Agriculture: Crops, Livestock, Ranches",Agriculture
534,Work,"Agriculture: Crops, Livestock, Ranches",Apples
537514,Work,"Agriculture: Crops, Livestock, Ranches","Auctioning, Marketing"
5351,Work,"Agriculture: Crops, Livestock, Ranches",Barley
537508,Work,"Agriculture: Crops, Livestock, Ranches","Barns, Curing, Stripping"
5318,Work,"Agriculture: Crops, Livestock, Ranches",Beans
54817,Work,"Agriculture: Crops, Livestock, Ranches",Bee Keeping
544,Work,"Agriculture: Crops, Livestock, Ranches",Beef Cattle
533,Work,"Agriculture: Crops, Livestock, Ranches",Berries
5443,Work,"Agriculture: Crops, Livestock, Ranches","Branding, Dehorning, Castrating"
5413,Work,"Agriculture: Crops, Livestock, Ranches",Breeding
54804,Work,"Agriculture: Crops, Livestock, Ranches",Breeding and Training Farm
537209,Work,"Agriculture: Crops, Livestock, Ranches",Bringing in from the Field
54825,Work,"Agriculture: Crops, Livestock, Ranches",Building and Repairing Fences
5431,Work,"Agriculture: Crops, Livestock, Ranches",Buildings
542,Work,"Agriculture: Crops, Livestock, Ranches",Butter
53144,Work,"Agriculture: Crops, Livestock, Ranches",Cabbages
54134,Work,"Agriculture: Crops, Livestock, Ranches",Calves
53162,Work,"Agriculture: Crops, Livestock, Ranches",Carrots
53145,Work,"Agriculture: Crops, Livestock, Ranches",Cauliflowers
53146,Work,"Agriculture: Crops, Livestock, Ranches",Celery
53449,Work,"Agriculture: Crops, Livestock, Ranches",Citrus Fruits
5304,Work,"Agriculture: Crops, Livestock, Ranches",Clearing Land
5377,Work,"Agriculture: Crops, Livestock, Ranches",Coffee
53584,Work,"Agriculture: Crops, Livestock, Ranches",Combines
538,Work,"Agriculture: Crops, Livestock, Ranches",Commercial Flower Gardening
5353,Work,"Agriculture: Crops, Livestock, Ranches",Corn
5372,Work,"Agriculture: Crops, Livestock, Ranches",Cotton
537208,Work,"Agriculture: Crops, Livestock, Ranches",Cotton Choppers and Pickers
5445,Work,"Agriculture: Crops, Livestock, Ranches","Cow Hands, Cowboys"
5332,Work,"Agriculture: Crops, Livestock, Ranches",Cranberries
531,Work,"Agriculture: Crops, Livestock, Ranches",Crops
537202,Work,"Agriculture: Crops, Livestock, Ranches",Cultivating Cotton
53532,Work,"Agriculture: Crops, Livestock, Ranches",Cultivating
537502,Work,"Agriculture: Crops, Livestock, Ranches","Cultivating, Working, Topping"
5412,Work,"Agriculture: Crops, Livestock, Ranches",Dairy Cattle
541,Work,"Agriculture: Crops, Livestock, Ranches",Dairy Farms
5447,Work,"Agriculture: Crops, Livestock, Ranches","Disease, Care"
54815,Work,"Agriculture: Crops, Livestock, Ranches",Dog Kennels
5436,Work,"Agriculture: Crops, Livestock, Ranches",Eggs
5486,Work,"Agriculture: Crops, Livestock, Ranches",Farm Planning and Accounting
539,Work,"Agriculture: Crops, Livestock, Ranches",Feed
5312,Work,"Agriculture: Crops, Livestock, Ranches",Fertilizing
329183,Work,"Agriculture: Crops, Livestock, Ranches",Fertilizing
545,Work,"Agriculture: Crops, Livestock, Ranches",Goats
531708,Work,"Agriculture: Crops, Livestock, Ranches","Grading, Packing"
535,Work,"Agriculture: Crops, Livestock, Ranches",Grain
5345,Work,"Agriculture: Crops, Livestock, Ranches",Grapefruit
5324,Work,"Agriculture: Crops, Livestock, Ranches",Grapes
5177,Work,"Agriculture: Crops, Livestock, Ranches",Grapes
537,Work,"Agriculture: Crops, Livestock, Ranches","Grasses, Hay, Sorghum"
5313,Work,"Agriculture: Crops, Livestock, Ranches",Greenhouses
53725,Work,"Agriculture: Crops, Livestock, Ranches",Guayule
53535,Work,"Agriculture: Crops, Livestock, Ranches",Harvesting
531706,Work,"Agriculture: Crops, Livestock, Ranches",Harvesting
537506,Work,"Agriculture: Crops, Livestock, Ranches",Harvesting
5463,Work,"Agriculture: Crops, Livestock, Ranches",Herding
5444,Work,"Agriculture: Crops, Livestock, Ranches",Herding
547,Work,"Agriculture: Crops, Livestock, Ranches",Hogs
54854,Work,"Agriculture: Crops, Livestock, Ranches",Homemade Tools and Equipment
53727,Work,"Agriculture: Crops, Livestock, Ranches",Hops
54802,Work,"Agriculture: Crops, Livestock, Ranches",Horse Breeding
548,Work,"Agriculture: Crops, Livestock, Ranches","Horses, Mules, Donkeys"
5138,Work,"Agriculture: Crops, Livestock, Ranches","Horses, Mules, Donkeys"
53536,Work,"Agriculture: Crops, Livestock, Ranches","Husking, Shelling"
5307,Work,"Agriculture: Crops, Livestock, Ranches",Irrigation
54157,Work,"Agriculture: Crops, Livestock, Ranches",Keeping Good Milk Good
5464,Work,"Agriculture: Crops, Livestock, Ranches",Lambing and Shearing
53153,Work,"Agriculture: Crops, Livestock, Ranches",Lettuce
54,Work,"Agriculture: Crops, Livestock, Ranches",Livestock
537406,Work,"Agriculture: Crops, Livestock, Ranches",Lunch
5485,Work,"Agriculture: Crops, Livestock, Ranches",Maintaining Farm Machinery
53171,Work,"Agriculture: Crops, Livestock, Ranches",Marketing
532,Work,"Agriculture: Crops, Livestock, Ranches",Melons
5414,Work,"Agriculture: Crops, Livestock, Ranches","Milking, Shipping Milk"
53717,Work,"Agriculture: Crops, Livestock, Ranches",Milo
5488,Work,"Agriculture: Crops, Livestock, Ranches",Miscellaneous Farm Work
54105,Work,"Agriculture: Crops, Livestock, Ranches",More Milk for Victory
5355,Work,"Agriculture: Crops, Livestock, Ranches",Oats
53164,Work,"Agriculture: Crops, Livestock, Ranches",Onions
5339,Work,"Agriculture: Crops, Livestock, Ranches",Orchards
5439,Work,"Agriculture: Crops, Livestock, Ranches",Other Fowl
531866,Work,"Agriculture: Crops, Livestock, Ranches",Pea Pickers' Camp
5344,Work,"Agriculture: Crops, Livestock, Ranches",Peaches
5378,Work,"Agriculture: Crops, Livestock, Ranches",Peanuts
5342,Work,"Agriculture: Crops, Livestock, Ranches",Pears
53186,Work,"Agriculture: Crops, Livestock, Ranches","Peas, Pea Vines"
5325,Work,"Agriculture: Crops, Livestock, Ranches",Peppers
53853,Work,"Agriculture: Crops, Livestock, Ranches",Pests
537206,Work,"Agriculture: Crops, Livestock, Ranches",Picking Cotton
53486,Work,"Agriculture: Crops, Livestock, Ranches",Pineapples
53855,Work,"Agriculture: Crops, Livestock, Ranches","Plant Quarantine, Inspection"
53531,Work,"Agriculture: Crops, Livestock, Ranches",Planting
537501,Work,"Agriculture: Crops, Livestock, Ranches",Planting
531702,Work,"Agriculture: Crops, Livestock, Ranches",Planting
53273,Work,"Agriculture: Crops, Livestock, Ranches","Planting, Seeding"
537201,Work,"Agriculture: Crops, Livestock, Ranches",PlantingCotton
5311,Work,"Agriculture: Crops, Livestock, Ranches",Plowing
5317,Work,"Agriculture: Crops, Livestock, Ranches",Potatoes
543,Work,"Agriculture: Crops, Livestock, Ranches","Poultry, Chickens"
531704,Work,"Agriculture: Crops, Livestock, Ranches",Projecting Agricultural Diseases
54812,Work,"Agriculture: Crops, Livestock, Ranches",Rabbits
53075,Work,"Agriculture: Crops, Livestock, Ranches","Reservoirs, Stock Water Dams"
5356,Work,"Agriculture: Crops, Livestock, Ranches",Rice
5442,Work,"Agriculture: Crops, Livestock, Ranches",Round Up
54801,Work,"Agriculture: Crops, Livestock, Ranches","Round Up , Branding"
53586,Work,"Agriculture: Crops, Livestock, Ranches","Sampling, Inspecting"
53102,Work,"Agriculture: Crops, Livestock, Ranches",Seed
5467,Work,"Agriculture: Crops, Livestock, Ranches",Shearing
5455,Work,"Agriculture: Crops, Livestock, Ranches",Shearing Goats
546,Work,"Agriculture: Crops, Livestock, Ranches",Sheep
5448,Work,"Agriculture: Crops, Livestock, Ranches","Shipping, Marketing"
5468,Work,"Agriculture: Crops, Livestock, Ranches","Shipping, Marketing"
5478,Work,"Agriculture: Crops, Livestock, Ranches",Slaughtering
5327,Work,"Agriculture: Crops, Livestock, Ranches",Small Vegetable Gardens
53715,Work,"Agriculture: Crops, Livestock, Ranches",Sorghum
53188,Work,"Agriculture: Crops, Livestock, Ranches",Soy Beans
53157,Work,"Agriculture: Crops, Livestock, Ranches",Spinach
537214,Work,"Agriculture: Crops, Livestock, Ranches",Storage
53539,Work,"Agriculture: Crops, Livestock, Ranches","Storage, Corn Cribs"
5337,Work,"Agriculture: Crops, Livestock, Ranches",Strawberries
53161,Work,"Agriculture: Crops, Livestock, Ranches",Sugar Beets
5374,Work,"Agriculture: Crops, Livestock, Ranches",Sugar Cane
537404,Work,"Agriculture: Crops, Livestock, Ranches",Sugar Cane Harvesting
53174,Work,"Agriculture: Crops, Livestock, Ranches","Sweet Potatoes, Yams"
5375,Work,"Agriculture: Crops, Livestock, Ranches",Tobacco
5326,Work,"Agriculture: Crops, Livestock, Ranches",Tomatoes
537211,Work,"Agriculture: Crops, Livestock, Ranches",Transporting to Gin or Market
537512,Work,"Agriculture: Crops, Livestock, Ranches",Transporting to Market
5437,Work,"Agriculture: Crops, Livestock, Ranches",Turkeys
54818,Work,"Agriculture: Crops, Livestock, Ranches",Veterinary Medicine
53285,Work,"Agriculture: Crops, Livestock, Ranches",Victory Gardeners
5328,Work,"Agriculture: Crops, Livestock, Ranches",Victory Gardens
54305,Work,"Agriculture: Crops, Livestock, Ranches",Victory on an Egg Shell
53721,Work,"Agriculture: Crops, Livestock, Ranches","Weighing, Recording"
5358,Work,"Agriculture: Crops, Livestock, Ranches",Wheat
53104,Work,"Agriculture: Crops, Livestock, Ranches",Working Cultivated Land
59627,Work,Engineering and Building,Adobe Houses
59502,Work,Engineering and Building,Aerial Views
5922,Work,Engineering and Building,Alaska Highway
594,Work,Engineering and Building,Architecture
5933,Work,Engineering and Building,Bridges
5945,Work,Engineering and Building,Building Materials
5971,Work,Engineering and Building,Building Trades
5974,Work,Engineering and Building,Carpentry
5963,Work,Engineering and Building,"Carpentry, Log Houses"
5928,Work,Engineering and Building,City Streets
59343,Work,Engineering and Building,Concretework
596,Work,Engineering and Building,Construction of Small Houses
595,Work,Engineering and Building,Construction Projects
5934,Work,Engineering and Building,Dams and Lock Construction
5982,Work,Engineering and Building,"Delivery, Erection"
5985,Work,Engineering and Building,"Demolition, House Wrecking"
59685,Work,Engineering and Building,"Doors , Windows"
59,Work,Engineering and Building,Engineering
597,Work,Engineering and Building,Farm Buildings and Grounds
59617,Work,Engineering and Building,Foundations
596054,Work,Engineering and Building,"Greenbelt, Maryland"
596055,Work,Engineering and Building,"Greenhills, Ohio"
5935,Work,Engineering and Building,Irrigation
5913,Work,Engineering and Building,"Land Clearing, Earth Moving"
5984,Work,Engineering and Building,Landscape Architecture
5962,Work,Engineering and Building,Masonry
5989,Work,Engineering and Building,Miscellaneous Trades
5987,Work,Engineering and Building,Moving Houses
5938,Work,Engineering and Building,Oil Pipeline Construction
59793,Work,Engineering and Building,Painting
598,Work,Engineering and Building,Prefabricated Houses
59835,Work,Engineering and Building,Privies
59625,Work,Engineering and Building,Rammed Earth Construction
592,Work,Engineering and Building,Road Construction
59687,Work,Engineering and Building,Screen Doors and Windows
5937,Work,Engineering and Building,Sewers
59345,Work,Engineering and Building,Stock Water Dams and Other Water Controls
5981,Work,Engineering and Building,"Stockpiles, Pre-cutting, Pre-casting, Pre-assembly, Miscellaneous"
591,Work,Engineering and Building,Surveying
5995,Work,Engineering and Building,Training for Industrial Skills
5959,Work,Engineering and Building,Urban Alterations
59505,Work,Engineering and Building,"Washington, D.C. (Official Buildings)"
5936,Work,Engineering and Building,Water Supply
59344,Work,Engineering and Building,Workmen
565,Work,Fishing,"Crabs, Oysters"
561,Work,Fishing,Fishermen in their Boats
56,Work,Fishing,Fishing
5607,Work,Fishing,Hauling in the Catch
5647,Work,Fishing,"Indians, Celilo Falls, Oregon"
562,Work,Fishing,Life on Board
563,Work,Fishing,Maintenance
564,Work,Fishing,"Unloading, Dock Scenes"
55385,Work,Forest Products,Booming Operations
556,Work,Forest Products,Firewood
55875,Work,Forest Products,Fur Auction
5587,Work,Forest Products,Fur Trapping and Trappers
5537,Work,Forest Products,Hauling Logs
553,Work,Forest Products,"Lumberjacks, Lumbercamps"
552,Work,Forest Products,Lumbering
55,Work,Forest Products,"Lumbering, Forest Products"
5573,Work,Forest Products,Maple Syrup
551,Work,Forest Products,"Nurseries, Planting Trees"
5538,Work,Forest Products,Pulpwood Drive
554,Work,Forest Products,Sawmills
55387,Work,Forest Products,Sluicing Operations
555,Work,Forest Products,Tie Cutting Camp
5576,Work,Forest Products,Turpentine
57339,Work,"Mining, Oil Wells, Quarrying",Abandoned Gold Mines
5723,Work,"Mining, Oil Wells, Quarrying",Blasting and Drilling
5726,Work,"Mining, Oil Wells, Quarrying",Breaking and Cleaning Plants
5731,Work,"Mining, Oil Wells, Quarrying",Chromite
572,Work,"Mining, Oil Wells, Quarrying",Coal
573,Work,"Mining, Oil Wells, Quarrying",Copper
5762,Work,"Mining, Oil Wells, Quarrying",Drilling Wells
57303,Work,"Mining, Oil Wells, Quarrying","Drilling, Blasting, Mucking"
5733,Work,"Mining, Oil Wells, Quarrying",Gold
574,Work,"Mining, Oil Wells, Quarrying",Iron
575,Work,"Mining, Oil Wells, Quarrying",Lead
5725,Work,"Mining, Oil Wells, Quarrying",Loading and Transport
57254,Work,"Mining, Oil Wells, Quarrying",Machine Shop
57515,Work,"Mining, Oil Wells, Quarrying",Mercury
57273,Work,"Mining, Oil Wells, Quarrying",Miners
57,Work,"Mining, Oil Wells, Quarrying",Mines
576,Work,"Mining, Oil Wells, Quarrying","Petroleum, Oil Wells"
5742,Work,"Mining, Oil Wells, Quarrying",Prospecting
57332,Work,"Mining, Oil Wells, Quarrying",Prospecting
578,Work,"Mining, Oil Wells, Quarrying",Quarries
